"","FOUND_BY","PREFERRED_NAME","INCHIKEY","SMILES","INCHI_STRING","MOLECULAR_FORMULA","MONOISOTOPIC_MASS","MS_READY_SMILES","QSAR_READY_SMILES","BIOCONCENTRATION_FACTOR_TEST_PRED","BOILING_POINT_DEGC_TEST_PRED","X48HR_DAPHNIA_LC50_MOL.L_TEST_PRED","DENSITY_G.CM.3_TEST_PRED","DEVTOX_TEST_PRED","X96HR_FATHEAD_MINNOW_MOL.L_TEST_PRED","FLASH_POINT_DEGC_TEST_PRED","MELTING_POINT_DEGC_TEST_PRED","AMES_MUTAGENICITY_TEST_PRED","ORAL_RAT_LD50_MOL.KG_TEST_PRED","SURFACE_TENSION_DYN.CM_TEST_PRED","THERMAL_CONDUCTIVITY_MW..M.K._TEST_PRED","TETRAHYMENA_PYRIFORMIS_IGC50_MOL.L_TEST_PRED","VISCOSITY_CP_CP_TEST_PRED","VAPOR_PRESSURE_MMHG_TEST_PRED","WATER_SOLUBILITY_MOL.L_TEST_PRED","ATMOSPHERIC_HYDROXYLATION_RATE_.AOH._CM3.MOLECULE.SEC_OPERA_PRED","BIOCONCENTRATION_FACTOR_OPERA_PRED","BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED","BOILING_POINT_DEGC_OPERA_PRED","HENRYS_LAW_ATM.M3.MOLE_OPERA_PRED","OPERA_KM_DAYS_OPERA_PRED","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","SOIL_ADSORPTION_COEFFICIENT_KOC_L.KG_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","MELTING_POINT_DEGC_OPERA_PRED","VAPOR_PRESSURE_MMHG_OPERA_PRED","WATER_SOLUBILITY_MOL.L_OPERA_PRED","atom_stereo_count","bond_stereo_count","canonical_smiles","charge","cid","complexity","covalent_unit_count","defined_atom_stereo_count","defined_bond_stereo_count","exact_mass","h_bond_acceptor_count","h_bond_donor_count","heavy_atom_count","inchi","isomeric_smiles","iupac_name","molecular_formula","molecular_weight","monoisotopic_mass","rotatable_bond_count","tpsa","undefined_atom_stereo_count","undefined_bond_stereo_count","xlogp"
"6869","InChIKey","7,4'-Dihydroxyisoflavone","ZQSIJRDFPHDXIC-UHFFFAOYSA-N","OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O","InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H","C15H10O4","254.0579088","OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O","OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O","50.8159","413.688","2.60016E-05","1.467","0.843","6.85488E-06","208.502","237.676","0.207","0.00154882","-","-","0.000047863","39.4457","2.39883E-08","0.000419759","2.44716E-11","63.3428","19.0435","406.755","1.26455E-09","0.142458","9.16917","809.77","3.24262","278.461","3.4558E-10","0.000255351",0,0,"C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O",0,5281708,382,1,0,0,254.0579088,4,2,19,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H","C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O","7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one","C15H10O4",254.24,254.0579088,1,66.8,0,0,2.5
"6895","InChIKey","9-Methoxy-10-(3-methylbut-2-en-1-yl)-6H-[1]benzofuro[3,2-c][1]benzopyran-3,6a(11aH)-diol","ZHPYEBFYLDGZKF-LEWJYISDSA-N","[H][C@@]12OC3=C(C=CC(OC)=C3CC=C(C)C)[C@]1(O)COC1=C2C=CC(O)=C1","InChI=1S/C21H22O5/c1-12(2)4-6-14-17(24-3)9-8-16-19(14)26-20-15-7-5-13(22)10-18(15)25-11-21(16,20)23/h4-5,7-10,20,22-23H,6,11H2,1-3H3/t20-,21+/m0/s1","C21H22O5","354.1467238","COC1=C(CC=C(C)C)C2=C(C=C1)C1(O)COC3=C(C=CC(O)=C3)C1O2","COC1=C(CC=C(C)C)C2=C(C=C1)C1(O)COC3=C(C=CC(O)=C3)C1O2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.60438E-11","37.0649","37.3179","418.147","9.06539E-10","1.44822","9.43847","237587","4.47692","207.812","1.6126E-08","0.000369937",2,0,"CC(=CCC1=C(C=CC2=C1OC3C2(COC4=C3C=CC(=C4)O)O)OC)C",0,126540,545,1,2,0,354.14672381,5,2,26,"InChI=1S/C21H22O5/c1-12(2)4-6-14-17(24-3)9-8-16-19(14)26-20-15-7-5-13(22)10-18(15)25-11-21(16,20)23/h4-5,7-10,20,22-23H,6,11H2,1-3H3/t20-,21+/m0/s1","CC(=CCC1=C(C=CC2=C1O[C@@H]3[C@]2(COC4=C3C=CC(=C4)O)O)OC)C","(6aS,11aS)-9-methoxy-10-(3-methylbut-2-enyl)-6,11a-dihydro-[1]benzofuro[3,2-c]chromene-3,6a-diol","C21H22O5",354.4,354.14672381,3,68.2,0,0,3.5
"6902","InChIKey","Soyasapogenol B","YOQAQNKGFOLRGT-UXXABWCISA-N","CC1(C)C[C@@H](O)[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@](C)(CO)[C@@H]5CC[C@@]34C)[C@@H]2C1","InChI=1S/C30H50O3/c1-25(2)16-20-19-8-9-22-27(4)12-11-23(32)28(5,18-31)21(27)10-13-30(22,7)29(19,6)15-14-26(20,3)24(33)17-25/h8,20-24,31-33H,9-18H2,1-7H3/t20-,21+,22+,23-,24+,26+,27-,28+,29+,30+/m0/s1","C30H50O3","458.3759955","CC1(C)CC(O)C2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(CO)C5CCC34C)C2C1","CC1(C)CC(O)C2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(CO)C5CCC34C)C2C1","197.242","401.975","2.18273E-06","1.057","0.817","4.9204E-06","287.207","235.879","0.283","0.00440555","44.754","-","-","-","4.00867E-10","1.77419E-06","3.04491E-11","262.432","334.933","392.116","1.53942E-08","2.7157","9.38693","71492.8","3.8269","279.772","2.172E-09","4.18345E-05",10,0,"CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CCC2(C(C1)O)C)C)C)(C)CO)O)C)C",0,115012,848,1,10,0,458.37599547,3,3,33,"InChI=1S/C30H50O3/c1-25(2)16-20-19-8-9-22-27(4)12-11-23(32)28(5,18-31)21(27)10-13-30(22,7)29(19,6)15-14-26(20,3)24(33)17-25/h8,20-24,31-33H,9-18H2,1-7H3/t20-,21+,22+,23-,24+,26+,27-,28+,29+,30+/m0/s1","C[C@]12CC[C@@H]([C@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(C[C@H]5O)(C)C)C)C)C)(C)CO)O","(3S,4S,4aR,6aR,6bS,8aR,9R,12aS,14aR,14bR)-4-(hydroxymethyl)-4,6a,6b,8a,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicene-3,9-diol","C30H50O3",458.7,458.37599547,1,60.7,0,0,7
"6927","InChIKey","Octacosanoic acid","UTOPWMOLSKOLTQ-UHFFFAOYSA-N","CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O","InChI=1S/C28H56O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28(29)30/h2-27H2,1H3,(H,29,30)","C28H56O2","424.428031","CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O","CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O","7.65597","451.151","3.22849E-06","0.831","0.7","1.26183E-08","231.779","82.942","-0.028","0.0323594","31.254","161.577","7.04693E-08","72.1107","5.57186E-11","4.9204E-07","1.51698E-11","53.6883","116.372","345.331","6.08527E-08","0.650065","10.2836","10141.7","9.30153","90.8162","2.24941E-10","3.60428E-07",0,0,"CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O",0,10470,327,1,0,0,424.42803104,2,1,30,"InChI=1S/C28H56O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28(29)30/h2-27H2,1H3,(H,29,30)","CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O","octacosanoic acid","C28H56O2",424.7,424.42803104,26,37.3,0,0,12.9
"6947","InChIKey","Stigmast-4-en-3-one","RUVUHIUYGJBLGI-XJZKHKOHSA-N","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](CC)C(C)C","InChI=1S/C29H48O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h18-21,24-27H,7-17H2,1-6H3/t20-,21-,24+,25-,26+,27+,28+,29-/m1/s1","C29H48O","412.3705162","CCC(CCC(C)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C)C(C)C","CCC(CCC(C)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C)C(C)C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.61508E-11","796.044","256.03","413.461","2.26683E-07","13.3994","11.6984","59184.5","9.23562","84.8972","2.72261E-08","6.4704E-06",8,0,"CCC(CCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(C)C",0,5484202,674,1,8,0,412.37051617,1,0,30,"InChI=1S/C29H48O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h18-21,24-27H,7-17H2,1-6H3/t20-,21-,24+,25-,26+,27+,28+,29-/m1/s1","CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(C)C","(8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one","C29H48O",412.7,412.37051617,6,17.1,0,0,9.3
"7051","InChIKey","Oblongine","POJZOQWVMMYVBU-INIZCTEOSA-O","COC1=C(O)C2=C(CC[N+](C)(C)[C@H]2CC2=CC=C(O)C=C2)C=C1","InChI=1S/C19H23NO3/c1-20(2)11-10-14-6-9-17(23-3)19(22)18(14)16(20)12-13-4-7-15(21)8-5-13/h4-9,16H,10-12H2,1-3H3,(H-,21,22)/p+1/t16-/m0/s1","C19H24NO3","314.1750701","COc1ccc2CC[N+](C)(C)C(Cc3ccc(O)cc3)c2c1O","COc1ccc2CC[N+](C)(C)C(Cc3ccc(O)cc3)c2c1O","-","-","-","-","0.802","-","-","135.198","0.358","0.00281838","-","-","-","-","-","-","1.67207E-11","36.9481","7.60965","398.409","3.75972E-09","0.626047","9.27339","432.302","3.66063","160.979","3.04453E-10","0.00101091",1,0,"C[N+]1(CCC2=C(C1CC3=CC=C(C=C3)O)C(=C(C=C2)OC)O)C",1,173713,392,1,1,0,314.17561864,3,2,23,"InChI=1S/C19H23NO3/c1-20(2)11-10-14-6-9-17(23-3)19(22)18(14)16(20)12-13-4-7-15(21)8-5-13/h4-9,16H,10-12H2,1-3H3,(H-,21,22)/p+1/t16-/m0/s1","C[N+]1(CCC2=C([C@@H]1CC3=CC=C(C=C3)O)C(=C(C=C2)OC)O)C","(1S)-1-[(4-hydroxyphenyl)methyl]-7-methoxy-2,2-dimethyl-3,4-dihydro-1H-isoquinolin-2-ium-8-ol","C19H24NO3+",314.4,314.17561864,3,49.7,0,0,3.1
"7052","InChIKey","Tembetarine","ABSDACFLIMOXJY-INIZCTEOSA-O","COC1=C(O)C=C(C[C@H]2C3=CC(O)=C(OC)C=C3CC[N+]2(C)C)C=C1","InChI=1S/C20H25NO4/c1-21(2)8-7-14-11-20(25-4)18(23)12-15(14)16(21)9-13-5-6-19(24-3)17(22)10-13/h5-6,10-12,16H,7-9H2,1-4H3,(H-,22,23)/p+1/t16-/m0/s1","C20H26NO4","344.1856347","COc1ccc(CC2c3cc(O)c(OC)cc3CC[N+]2(C)C)cc1O","COc1ccc(CC2c3cc(O)c(OC)cc3CC[N+]2(C)C)cc1O","-","-","-","-","0.846","-","-","137.596","0.574","0.00293089","-","-","-","-","-","-","1.67946E-11","36.2378","5.37981","388.115","3.35618E-09","0.527094","9.35656","2404.64","3.4236","166.355","1.00117E-08","0.000478383",1,0,"C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)O)O)OC)C",1,167718,443,1,1,0,344.18618332,4,2,25,"InChI=1S/C20H25NO4/c1-21(2)8-7-14-11-20(25-4)18(23)12-15(14)16(21)9-13-5-6-19(24-3)17(22)10-13/h5-6,10-12,16H,7-9H2,1-4H3,(H-,22,23)/p+1/t16-/m0/s1","C[N+]1(CCC2=CC(=C(C=C2[C@@H]1CC3=CC(=C(C=C3)OC)O)O)OC)C","(1S)-1-[(3-hydroxy-4-methoxyphenyl)methyl]-6-methoxy-2,2-dimethyl-3,4-dihydro-1H-isoquinolin-2-ium-7-ol","C20H26NO4+",344.4,344.18618332,4,58.9,0,0,3
"7056","InChIKey","Canthin-6-one","ZERVJPYNQLONEK-UHFFFAOYSA-N","O=C1C=CC2=NC=CC3=C2N1C1=CC=CC=C31","InChI=1S/C14H8N2O/c17-13-6-5-11-14-10(7-8-15-11)9-3-1-2-4-12(9)16(13)14/h1-8H","C14H8N2O","220.0636629","O=C1C=CC2=NC=CC3=C2N1C1=CC=CC=C31","O=C1C=CC2=NC=CC3=C2N1C1=CC=CC=C31","31.6957","424.98","1.37721E-05","1.349","0.447","5.54626E-07","260.77","164.111","0.865","-","-","-","1.35519E-05","-","4.97737E-08","7.62079E-06","4.16967E-11","7.35601","3.35651","338.272","1.92567E-08","3.17335","9.78361","8869.46","2.30916","125.044","1.25408E-08","0.00188879",0,0,"C1=CC=C2C(=C1)C3=C4N2C(=O)C=CC4=NC=C3",0,97176,378,1,0,0,220.063662886,2,0,17,"InChI=1S/C14H8N2O/c17-13-6-5-11-14-10(7-8-15-11)9-3-1-2-4-12(9)16(13)14/h1-8H","C1=CC=C2C(=C1)C3=C4N2C(=O)C=CC4=NC=C3","1,6-diazatetracyclo[7.6.1.05,16.010,15]hexadeca-3,5(16),6,8,10,12,14-heptaen-2-one","C14H8N2O",220.23,220.063662886,0,34.9,0,0,2.4
"7058","InChIKey","Cheleritrine","LLEJIEBFSOEYIV-UHFFFAOYSA-N","COC1=CC=C2C3=CC=C4C=C5OCOC5=CC4=C3[N+](C)=CC2=C1OC","InChI=1S/C21H18NO4/c1-22-10-16-13(6-7-17(23-2)21(16)24-3)14-5-4-12-8-18-19(26-11-25-18)9-15(12)20(14)22/h4-10H,11H2,1-3H3/q+1","C21H18NO4","348.1230345","COC1=CC=C2C3=CC=C4C=C5OCOC5=CC4=C3[N+](C)=CC2=C1OC","COC1=CC=C2C3=CC=C4C=C5OCOC5=CC4=C3[N+](C)=CC2=C1OC","-","-","-","-","0.713","1.47571E-06","-","-","0.467","0.00295801","-","-","-","-","-","-","1.74313E-11","31.8666","12.5218","433.144","6.0997E-06","1.62026","11.6959","432437","4.88388","197.002","1.23189E-09","7.51908E-06",0,0,"C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5",1,2703,516,1,0,0,348.12358306,4,0,26,"InChI=1S/C21H18NO4/c1-22-10-16-13(6-7-17(23-2)21(16)24-3)14-5-4-12-8-18-19(26-11-25-18)9-15(12)20(14)22/h4-10H,11H2,1-3H3/q+1","C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5","1,2-dimethoxy-12-methyl-[1,3]benzodioxolo[5,6-c]phenanthridin-12-ium","C21H18NO4+",348.4,348.12358306,2,40.8,0,0,4.6
"7059","InChIKey","Dictamnine","WIONIXOBNMDJFJ-UHFFFAOYSA-N","COC1=C2C=COC2=NC2=C1C=CC=C2","InChI=1S/C12H9NO2/c1-14-11-8-4-2-3-5-10(8)13-12-9(11)6-7-15-12/h2-7H,1H3","C12H9NO2","199.0633285","COC1=C2C=COC2=NC2=C1C=CC=C2","COC1=C2C=COC2=NC2=C1C=CC=C2","150.314","326.268","0.000025293","1.274","0.559","1.54882E-05","166.322","114.051","0.862","0.00248313","42.868","-","7.99834E-05","16.4816","1.84502E-06","4.74242E-05","4.38594E-11","17.7207","3.35635","350.233","1.82721E-06","0.376484","7.38034","7921.14","2.80745","133.62","4.77817E-06","0.0014913",0,0,"COC1=C2C=COC2=NC3=CC=CC=C31",0,68085,234,1,0,0,199.063328534,3,0,15,"InChI=1S/C12H9NO2/c1-14-11-8-4-2-3-5-10(8)13-12-9(11)6-7-15-12/h2-7H,1H3","COC1=C2C=COC2=NC3=CC=CC=C31","4-methoxyfuro[2,3-b]quinoline","C12H9NO2",199.2,199.063328534,1,35.3,0,0,2.7
"7060","InChIKey","3-(2,3-Dihydroxy-3-methylbutyl)-4-methoxy-1-methylquinolin-2(1H)-one","NHNXJYYEQLVCAZ-CYBMUJFWSA-N","[H][C@@](O)(CC1=C(OC)C2=CC=CC=C2N(C)C1=O)C(C)(C)O","InChI=1S/C16H21NO4/c1-16(2,20)13(18)9-11-14(21-4)10-7-5-6-8-12(10)17(3)15(11)19/h5-8,13,18,20H,9H2,1-4H3/t13-/m1/s1","C16H21NO4","291.1470582","COC1=C(CC(O)C(C)(C)O)C(=O)N(C)C2=CC=CC=C12","COC1=C(CC(O)C(C)(C)O)C(=O)N(C)C2=CC=CC=C12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.02387E-11","1.18343","3.17507","385.941","1.72798E-11","0.843554","9.30361","396.474","1.15914","162.121","2.33053E-09","0.0172753",1,0,"CC(C)(C(CC1=C(C2=CC=CC=C2N(C1=O)C)OC)O)O",0,161570,444,1,1,0,291.14705816,4,2,21,"InChI=1S/C16H21NO4/c1-16(2,20)13(18)9-11-14(21-4)10-7-5-6-8-12(10)17(3)15(11)19/h5-8,13,18,20H,9H2,1-4H3/t13-/m1/s1","CC(C)([C@@H](CC1=C(C2=CC=CC=C2N(C1=O)C)OC)O)O","3-[(2R)-2,3-dihydroxy-3-methylbutyl]-4-methoxy-1-methylquinolin-2-one","C16H21NO4",291.34,291.14705816,4,70,0,0,0.8
"7061","InChIKey","Fagarine","KFBCTNNQFGONHB-UHFFFAOYSA-N","COC1=CC=CC2=C1N=C1OC=CC1=C2OC","InChI=1S/C13H11NO3/c1-15-10-5-3-4-8-11(10)14-13-9(6-7-17-13)12(8)16-2/h3-7H,1-2H3","C13H11NO3","229.0738932","COC1=CC=CC2=C1N=C1OC=CC1=C2OC","COC1=CC=CC2=C1N=C1OC=CC1=C2OC","149.968","362.805","2.30144E-05","1.294","0.668","1.54882E-05","183.114","121.953","0.983","0.00133968","-","-","5.08159E-05","-","5.19996E-07","9.81748E-05","1.42481E-11","11.1009","4.31817","351.919","2.50028E-07","0.242797","8.52705","3698.42","2.34564","107.237","3.70236E-07","0.00244883",0,0,"COC1=CC=CC2=C1N=C3C(=C2OC)C=CO3",0,107936,273,1,0,0,229.07389322,4,0,17,"InChI=1S/C13H11NO3/c1-15-10-5-3-4-8-11(10)14-13-9(6-7-17-13)12(8)16-2/h3-7H,1-2H3","COC1=CC=CC2=C1N=C3C(=C2OC)C=CO3","4,8-dimethoxyfuro[2,3-b]quinoline","C13H11NO3",229.23,229.07389322,2,44.5,0,0,2.9
"7069","InChIKey","Skimmianine","SLSIBLKBHNKZTB-UHFFFAOYSA-N","COC1=C(OC)C2=C(C=C1)C(OC)=C1C=COC1=N2","InChI=1S/C14H13NO4/c1-16-10-5-4-8-11(13(10)18-3)15-14-9(6-7-19-14)12(8)17-2/h4-7H,1-3H3","C14H13NO4","259.0844579","COC1=C(OC)C2=C(C=C1)C(OC)=C1C=COC1=N2","COC1=C(OC)C2=C(C=C1)C(OC)=C1C=COC1=N2","170.608","372.065","7.99834E-06","1.281","0.641","9.61612E-06","193.482","122.111","0.935","0.00271019","-","-","4.94311E-05","-","5.72796E-08","6.01174E-05","4.46931E-11","2.86642","4.75336","322.314","2.9356E-09","2.08048","6.48809","136.111","1.18075","176.77","7.35405E-06","0.0013282",0,0,"COC1=C(C2=C(C=C1)C(=C3C=COC3=N2)OC)OC",0,6760,314,1,0,0,259.0844579,5,0,19,"InChI=1S/C14H13NO4/c1-16-10-5-4-8-11(13(10)18-3)15-14-9(6-7-19-14)12(8)17-2/h4-7H,1-3H3","COC1=C(C2=C(C=C1)C(=C3C=COC3=N2)OC)OC","4,7,8-trimethoxyfuro[2,3-b]quinoline","C14H13NO4",259.26,259.0844579,3,53.7,0,0,2.8
"7074","InChIKey","Kaempferol-7-rhamnoside","HQNOUCSPWAGQND-GKLNBGJFSA-N","C[C@@H]1O[C@@H](OC2=CC(O)=C3C(=O)C(O)=C(OC3=C2)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O","InChI=1S/C21H20O10/c1-8-15(24)17(26)19(28)21(29-8)30-11-6-12(23)14-13(7-11)31-20(18(27)16(14)25)9-2-4-10(22)5-3-9/h2-8,15,17,19,21-24,26-28H,1H3/t8-,15-,17+,19+,21-/m0/s1","C21H20O10","432.1056468","CC1OC(Oc2cc(O)c3C(=O)C(=O)C(Oc3c2)c2ccc(O)cc2)C(O)C(O)C1O","CC1OC(Oc2cc(O)c3C(=O)C(=O)C(Oc3c2)c2ccc(O)cc2)C(O)C(O)C1O","1.92752","615.806","8.29851E-05","1.75","0.591","1.72584E-06","347.881","232.88","0.314","0.0043451","-","-","-","-","4.83059E-13","0.0018578","2.4636E-11","2.38949","87.1855","380.104","1.77308E-11","0.207666","9.49486","140.247","1.11771","187.094","3.2028E-09","0.00580794",5,0,"CC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)O)C4=CC=C(C=C4)O)O)O)O)O",0,25079965,702,1,5,0,432.10564684,10,6,31,"InChI=1S/C21H20O10/c1-8-15(24)17(26)19(28)21(29-8)30-11-6-12(23)14-13(7-11)31-20(18(27)16(14)25)9-2-4-10(22)5-3-9/h2-8,15,17,19,21-24,26-28H,1H3/t8-,15-,17+,19+,21-/m0/s1","C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)O)C4=CC=C(C=C4)O)O)O)O)O","3,5-dihydroxy-2-(4-hydroxyphenyl)-7-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one","C21H20O10",432.4,432.10564684,3,166,0,0,0.6
"7097","InChIKey","Diosmetin","MBNGWHIJMBWFHU-UHFFFAOYSA-N","COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1","InChI=1S/C16H12O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-7,17-19H,1H3","C16H12O6","300.0633881","COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1","COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1","13.4276","460.352","1.50661E-05","1.536","0.859","1.66725E-06","233.641","266.689","0.199","0.00215774","-","-","5.32108E-05","56.6239","1.0666E-09","0.000522396","1.3849E-11","44.83","6.94683","399.134","1.57614E-10","0.315179","9.26984","296.944","3.09805","253.512","1.47573E-09","0.000210434",0,0,"COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O",0,5281612,462,1,0,0,300.0633881,6,3,22,"InChI=1S/C16H12O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-7,17-19H,1H3","COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O","5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chromen-4-one","C16H12O6",300.26,300.0633881,2,96.2,0,0,1.7
"7099","InChIKey","Eupatilin","DRRWBCNQOKKKOL-UHFFFAOYSA-N","COC1=C(OC)C=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C(OC)=C2O","InChI=1S/C18H16O7/c1-22-12-5-4-9(6-14(12)23-2)13-7-10(19)16-15(25-13)8-11(20)18(24-3)17(16)21/h4-8,20-21H,1-3H3","C18H16O7","344.0896029","COC1=C(OC)C=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C(OC)=C2O","COC1=C(OC)C=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C(OC)=C2O","46.5586","486.219","0.000033037","1.459","0.835","1.39637E-06","243.957","219.423","0.344","0.000477529","-","-","5.04661E-05","-","1.04713E-09","0.000288403","1.74123E-11","60.3935","3.35539","403.907","1.17946E-11","0.156509","9.39125","539.829","2.9302","201.724","7.30249E-08","2.87218E-05",0,0,"COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC",0,5273755,520,1,0,0,344.08960285,7,2,25,"InChI=1S/C18H16O7/c1-22-12-5-4-9(6-14(12)23-2)13-7-10(19)16-15(25-13)8-11(20)18(24-3)17(16)21/h4-8,20-21H,1-3H3","COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC","2-(3,4-dimethoxyphenyl)-5,7-dihydroxy-6-methoxychromen-4-one","C18H16O7",344.3,344.08960285,4,94.4,0,0,2.9
"7122","Indigo InChIKey","Carveol","BAVONGHXFVOKBV-UHFFFAOYSA-N","CC(=C)C1CC=C(C)C(O)C1","InChI=1/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9-11H,1,5-6H2,2-3H3","C10H16O","152.1201151","CC(=C)C1CC=C(C)C(O)C1","CC(=C)C1CC=C(C)C(O)C1","10.3514","223.913","1.61808E-05","0.946","0.864","3.60579E-05","88.067","28.332","0.156","0.0110154","30.203","135.804","0.000677641","10.2565","0.0599791","0.00383707","1.91675E-10","8.46705","2.92325","227.974","5.10477E-07","0.0786929","7.36671","226.618","3.11786","35.413","0.0135592","0.0107378",2,0,"CC1=CCC(CC1O)C(=C)C",0,7438,191,1,0,0,152.12011514,1,1,11,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9-11H,1,5-6H2,2-3H3","CC1=CCC(CC1O)C(=C)C","2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-ol","C10H16O",152.23,152.12011514,1,20.2,2,0,2.1
