INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,DTXCID,CASRN,IUPAC_NAME,QSAR_READY_SMILES,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED
BNMGUJRJUUDLHW-CIZDPPTDSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NNWMHSNRRWMMBI-PJISEHJASA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NZCULBURCGAPSF-PQWKYGPVSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MDZKJHQSJHYOHJ-LLICELPBSA-N,InChIKey,DTXSID30905074,Maslinic acid,DTXCID101334176,4373-41-5,"2alpha,3beta-Dihydroxyolean-12-en-28-oic acid",CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC34C)C2C1)C(O)=O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HFGSQOYIOKBQOW-ZSDYHTTISA-N,InChIKey,DTXSID70904142,Corosolic acid,DTXCID501332027,4547-24-4,"2alpha,3beta-Dihydroxyurs-12-en-28-oic acid",CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC34C)C2C1C)C(O)=O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PHFUCJXOLZAQNH-OTMOLZNZSA-N,InChIKey,DTXSID40994595,3-(Acetyloxy)urs-12-en-28-oic acid,DTXCID701421628,7372-30-7,3beta-(Acetyloxy)urs-12-en-28-oic acid,CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC(C)=O)C(C)(C)C5CCC34C)C2C1C)C(O)=O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OXVUXGFZHDKYLS-QUFHAEKXSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZDPHROOEEOARMN-UHFFFAOYSA-N,InChIKey,DTXSID8021690,Undecanoic acid,DTXCID001690,112-37-8,Undecanoic acid,CCCCCCCCCCC(O)=O,19.5884,290.554,6.19E-05,0.934,0.589,1.22E-05,137.553,39.972,-0.008,0.034914,28.937,149.802,0.000128825,7.78037,5.51E-05,0.000244343
JXSVIVRDWWRQRT-UYDOISQJSA-N,InChIKey,DTXSID901019207,Asiatic acid,DTXCID601477197,464-92-6,"2alpha,3beta,23-Trihydroxyurs-12-en-28-oic acid",CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC34C)C2C1C)C(O)=O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NPJICTMALKLTFW-OFUAXYCQSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,DTXCID802481,83-46-5,Stigmast-5-en-3beta-ol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,785.236,408.379,9.18E-07,0.899,0.963,1.40E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06E-08,1.39E-07
