INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,DTXCID,CASRN,IUPAC_NAME,QSAR_READY_SMILES,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED
SFEUTIOWNUGQMZ-ZHLOSDGBSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ASRYDWWUAZEWIH-QXSHUVCSSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UKLMEFSRPRDOLD-YQFWSFKMSA-N,InChIKey,DTXSID10178249,Cinnamodial,DTXCID90100740,23599-45-3,"(1R,4S,4aS,8aS)-3,4-Diformyl-4-hydroxy-4a,8,8-trimethyl-1,4,4a,5,6,7,8,8a-octahydronaphthalen-1-yl acetate",CC(=O)OC1C=C(C=O)C(O)(C=O)C2(C)CCCC(C)(C)C12,-,320.914,7.98E-06,1.194,0.921,1.45E-05,217.108,134.023,0.322,-,-,139.092,3.95E-05,-,1.44E-05,0.00297852
PSJFPRLDKNCZGQ-OSRSDYAFSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XELPMDBBGYBGEI-ZETOZRRWSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NYFWOFCJTJKPJY-QDEZUTFSSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VFSRKCNYYCXRGI-JWDOTDQPSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,DTXCID802481,83-46-5,Stigmast-5-en-3beta-ol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,785.236,408.379,9.18E-07,0.899,0.963,1.40E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06E-08,1.39E-07
HCXVJBMSMIARIN-PHZDYDNGSA-N,InChIKey,DTXSID801015733,Stigmasterol,DTXCID601473919,83-48-7,"(22E)-Stigmasta-5,22-dien-3beta-ol",CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KZNIFHPLKGYRTM-UHFFFAOYSA-N,InChIKey,DTXSID6022391,Apigenin,DTXCID902391,520-36-5,"5,7-Dihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one",OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,17.0608,440.286,1.20E-05,1.539,0.798,2.74E-06,229.35,273.196,0.196,0.00696626,-,-,3.40E-05,40.4576,3.12E-09,0.000615177
NPJICTMALKLTFW-OFUAXYCQSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IYRMWMYZSQPJKC-UHFFFAOYSA-N,InChIKey,DTXSID7020768,Kaempferol,DTXCID30768,520-18-3,"3,5,7-Trihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one",OC1=CC=C(C=C1)C1OC2=C(C(O)=CC(O)=C2)C(=O)C1=O,8.03526,472.895,1.26E-05,1.661,0.757,4.48E-06,244.478,282.221,0.624,0.00704693,-,-,3.68E-05,44.2588,2.83E-10,0.000714496
IPCSVZSSVZVIGE-UHFFFAOYSA-N,InChIKey,DTXSID2021602,Hexadecanoic acid,DTXCID101602,57-10-3,Hexadecanoic acid,CCCCCCCCCCCCCCCC(O)=O,23.9332,360.169,1.26E-05,0.9,0.434,2.17E-06,163.619,58.773,-0.091,0.042462,29.845,154.705,3.48E-06,21.5278,2.42E-07,3.58E-06
XKNUGGWMUJBFJT-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WBYWAXJHAXSJNI-VOTSOKGWSA-N,InChIKey,DTXSID5022489,E-Cinnamic acid,DTXCID002489,140-10-3,(2E)-3-Phenylprop-2-enoic acid,OC(=O)C=CC1=CC=CC=C1,3.26588,280.363,0.00020893,1.162,0.591,3.37E-05,160.012,113.257,0.164,0.0154882,39.224,-,0.000881049,5.01187,0.000899498,0.00914113
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,DTXCID802481,83-46-5,Stigmast-5-en-3beta-ol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,785.236,408.379,9.18E-07,0.899,0.963,1.40E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06E-08,1.39E-07
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,DTXCID802481,83-46-5,Stigmast-5-en-3beta-ol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,785.236,408.379,9.18E-07,0.899,0.963,1.40E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06E-08,1.39E-07
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,DTXCID802481,83-46-5,Stigmast-5-en-3beta-ol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,785.236,408.379,9.18E-07,0.899,0.963,1.40E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06E-08,1.39E-07
NPJICTMALKLTFW-OFUAXYCQSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MMXKVMNBHPAILY-UHFFFAOYSA-N,InChIKey,DTXSID4047044,Ethyl dodecanoate,DTXCID2027044,106-33-2,Ethyl dodecanoate,CCCCCCCCCCCC(=O)OCC,62.6614,274.004,8.91E-06,0.86,0.323,2.32E-06,112.008,-10.435,0.086,0.0345144,27.585,145.23,1.34E-05,3.27341,0.00289068,0.00012942
MVLVMROFTAUDAG-UHFFFAOYSA-N,InChIKey,DTXSID5059406,Ethyl stearate,DTXCID5033202,111-61-5,Ethyl octadecanoate,CCCCCCCCCCCCCCCCCC(=O)OCC,58.0764,348.686,3.26E-06,0.828,0.358,9.02E-07,160.251,17.271,0.081,0.0605341,29.445,152.029,4.92E-07,7.62079,2.51E-06,2.38E-06
KSEBMYQBYZTDHS-HWKANZROSA-N,InChIKey,DTXSID70892035,(2E)-3-(4-Hydroxy-3-methoxyphenyl)-2-propenoic acid,DTXCID90208295,537-98-4,(2E)-3-(4-Hydroxy-3-methoxyphenyl)prop-2-enoic acid,COC1=C(O)C=CC(C=CC(O)=O)=C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LNTHITQWFMADLM-UHFFFAOYSA-N,InChIKey,DTXSID0020650,Gallic acid,DTXCID60650,149-91-7,"3,4,5-Trihydroxybenzoic acid",OC(=O)C1=CC(O)=C(O)C(O)=C1,0.516416,340.003,0.000337287,1.621,0.319,0.000451856,219.763,234.958,0.143,0.0164059,-,-,0.00184502,-,2.54E-07,0.0756833
LEXBBZCFWJNTGC-OYLFHFCFSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FVYXIJYOAGAUQK-UHFFFAOYSA-N,InChIKey,DTXSID30188845,Honokiol,DTXCID90111336,35354-74-6,"3',5-Di(prop-2-en-1-yl)[1,1'-biphenyl]-2,4'-diol",OC1=C(CC=C)C=C(C=C1)C1=C(O)C=CC(CC=C)=C1,46.7735,372.606,1.39E-06,1.131,0.841,2.74E-07,196.702,105.041,0.505,0.00104232,42.499,147.945,3.02E-06,-,1.93E-06,0.000154525
VVOAZFWZEDHOOU-UHFFFAOYSA-N,InChIKey,DTXSID0044076,Magnolol,DTXCID8024076,528-43-8,"5,5'-Di(prop-2-en-1-yl)[1,1'-biphenyl]-2,2'-diol",OC1=CC=C(CC=C)C=C1C1=C(O)C=CC(CC=C)=C1,73.7904,377.389,1.24E-06,1.128,0.703,2.80E-07,195.666,108.315,0.447,0.000342768,42.302,147.609,1.97E-06,-,2.87E-06,0.000152757
SCOBOZBTFMWPOO-AAHFWSMJSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MIJYXULNPSFWEK-GTOFXWBISA-N,InChIKey,DTXSID50858790,Oleanolic acid,DTXCID701474453,508-02-1,3beta-Hydroxyolean-12-en-28-oic acid,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1)C(O)=O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MBRLOUHOWLUMFF-UHFFFAOYSA-N,InChIKey,DTXSID20197507,7-Methoxy-8-(3-methyl-2-butenyl)-coumarin,DTXCID90119998,484-12-8,7-Methoxy-8-(3-methylbut-2-en-1-yl)-2H-1-benzopyran-2-one,COC1=C(CC=C(C)C)C2=C(C=CC(=O)O2)C=C1,-,343.118,3.64E-05,1.161,0.753,5.30E-06,178.584,116.659,0.543,0.00403645,-,-,2.40E-05,11.9124,6.35E-06,0.000135519
UILPJVPSNHJFIK-UHFFFAOYSA-N,InChIKey,DTXSID1022059,2'-Hydroxy-4'-methoxyacetophenone,DTXCID302059,552-41-0,1-(2-Hydroxy-4-methoxyphenyl)ethan-1-one,COC1=CC=C(C(C)=O)C(O)=C1,4.21697,274.249,0.000120226,1.172,0.453,0.000278612,121.938,77.915,0.292,0.00270396,40.778,148.473,0.000552077,11.995,0.00189234,0.0137721
RGHHSNMVTDWUBI-UHFFFAOYSA-N,InChIKey,DTXSID8059552,p-Hydroxybenzaldehyde,DTXCID7033787,123-08-0,4-Hydroxybenzaldehyde,OC1=CC=C(C=O)C=C1,-,233.799,5.01E-05,1.238,0.205,0.000130317,106.175,79.79,0.115,0.00944061,42.42,158.109,0.00115345,5.47016,0.0150661,0.0190546
FJKROLUGYXJWQN-UHFFFAOYSA-N,InChIKey,DTXSID3026647,4-Hydroxybenzoic acid,DTXCID806647,99-96-7,4-Hydroxybenzoic acid,OC(=O)C1=CC=C(O)C=C1,1.53815,274.894,0.000403645,1.414,0.324,0.000669885,169.592,170.769,0.275,0.0124165,-,-,0.00610942,-,7.45E-05,0.0483059
JXOHGGNKMLTUBP-HSUXUTPPSA-N,InChIKey,DTXSID4032039,Shikimic acid,DTXCID2012039,138-59-0,"(3R,4S,5R)-3,4,5-Trihydroxycyclohex-1-ene-1-carboxylic acid",OC1CC(=CC(O)C1O)C(O)=O,0.161436,358.839,0.00199067,1.575,0.489,0.00468813,228.071,168.879,0.274,0.055847,42.124,199.997,-,60.256,4.60E-09,0.820352
HCXVJBMSMIARIN-PHZDYDNGSA-N,InChIKey,DTXSID801015733,Stigmasterol,DTXCID601473919,83-48-7,"(22E)-Stigmasta-5,22-dien-3beta-ol",CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOWMJRJXZMEZLD-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AZWNRVNQMXFTSX-YRXWBPOGSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AZWNRVNQMXFTSX-AKHDSKFASA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PQWZXENVZQJUKV-UWBLVGDVSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POQQNJBRHJXAIN-KFLQCAKHSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FVCQLZMKPAVSPH-XWQGWOARSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,DTXCID802481,83-46-5,Stigmast-5-en-3beta-ol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,785.236,408.379,9.18E-07,0.899,0.963,1.40E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06E-08,1.39E-07
FVWJYYTZTCVBKE-ROUWMTJPSA-N,InChIKey,DTXSID101019934,Betulin,DTXCID801477793,473-98-3,"Lup-20(29)-ene-3beta,28-diol",CC(=C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QGJZLNKBHJESQX-FZFNOLFKSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YYGNTYWPHWGJRM-AAJYLUCBSA-N,InChIKey,DTXSID0026044,(E)-Squalene,DTXCID406044,111-02-4,"(6E,10E,14E,18E)-2,6,10,15,19,23-Hexamethyltetracosa-2,6,10,14,18,22-hexaene",CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C,46.1318,433.524,1.12E-08,0.794,0.834,5.40E-10,215.134,112.563,0.172,0.0203704,28.08,143.833,-,-,1.19E-07,1.47E-09
XJFGTYYCVFPPMQ-JXCDLVPQSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XJFGTYYCVFPPMQ-JXCDLVPQSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XJFGTYYCVFPPMQ-RDCAMWFPSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DGDGISHVMVMEBQ-IHXHSXLNSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DNWOEBSKFPAKBW-DTMQFJJTSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VUBBVVYLKRSKAR-XCZFOBESSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NNZPKJGWSFLBKX-BSKKOURMSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GJYCSCFUJNJVHU-IHXHSXLNSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XNJIBSNKGMLTOD-IKDNBOLRSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XEYWZJNHBIZTAF-ZBXJPHOBSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XMGQYMWWDOXHJM-UHFFFAOYSA-N,Indigo InChIKey,DTXSID2029612,Limonene,DTXCID209612,138-86-3,1-Methyl-4-(prop-1-en-2-yl)cyclohex-1-ene,CC(=C)C1CCC(C)=CC1,523.87,170.51,8.32E-06,0.84,0.75,9.33E-06,47.49,-54.53,0.27,0.0354813,26.36,118.65,0.000131826,1.25893,2.5704,0.000107152
HFPZCAJZSCWRBC-UHFFFAOYSA-N,InChIKey,DTXSID3026645,p-Cymene,DTXCID006645,99-87-6,1-Methyl-4-(propan-2-yl)benzene,CC(C)C1=CC=C(C)C=C1,415.911,175.943,2.47E-05,0.868,0.668,8.17E-05,54.867,-50.272,-,0.0232809,28.026,123.106,0.000200909,1.47231,1.47911,0.000462381
NDVASEGYNIMXJL-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IHPKGUQCSIINRJ-NTMALXAHSA-N,InChIKey,DTXSID3052018,"(Z)-3,7-Dimethylocta-1,3,6,-triene",DTXCID0030582,3338-55-4,"(3Z)-3,7-Dimethylocta-1,3,6-triene",CC(C)=CCC=C(C)C=C,478.63,165.116,4.14E-06,0.78,0.788,6.03E-06,43.835,-58.283,-,0.026485,22.728,126.831,8.81E-05,0.591562,2.70396,9.46E-05
JUWUWIGZUVEFQB-UHFFFAOYSA-N,Indigo InChIKey,DTXSID2047197,"3,3-Dimethyl-8,9-dinorbornan-2-yl acetate",DTXCID0027197,13851-11-1,"1,3,3-Trimethylbicyclo[2.2.1]heptan-2-yl acetate",CC(=O)OC1C2(C)CCC(C2)C1(C)C,85.5067,222.876,1.02E-05,0.96,0.719,0.000105682,78.222,47.357,0.016,0.0128529,30.895,114.969,0.000242103,-,0.18281,0.00254683
BNWJOHGLIBDBOB-UHFFFAOYSA-N,InChIKey,DTXSID1025693,Myristicin,DTXCID605693,607-91-0,"4-Methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",COC1=C2OCOC2=CC(CC=C)=C1,37.2392,274.609,4.08E-05,1.11,0.711,7.67E-05,110.999,21.434,0.075,0.0151705,-,139.659,0.000475335,4.22669,0.00134896,0.00430527
NDVASEGYNIMXJL-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MOYAFQVGZZPNRA-UHFFFAOYSA-N,InChIKey,DTXSID0027222,Terpinolene,DTXCID507222,586-62-9,1-Methyl-4-(propan-2-ylidene)cyclohex-1-ene,CC(C)=C1CCC(C)=CC1,501.72,179.89,4.57E-06,0.86,0.77,1.29E-05,49.99,-33.29,0.18,0.0346737,26.37,118.88,0.000147911,1.25893,2.04174,6.17E-05
IHPKGUQCSIINRJ-CSKARUKUSA-N,InChIKey,DTXSID8040567,Ocimene (E),DTXCID6020567,3779-61-1,"(3E)-3,7-Dimethylocta-1,3,6-triene",CC(C)=CCC=C(C)C=C,478.63,165.116,4.14E-06,0.78,0.788,6.03E-06,43.835,-58.283,-,0.026485,22.728,126.831,8.81E-05,0.591562,2.70396,9.46E-05
XPFCGZWOHNGDSP-UHFFFAOYSA-N,InChIKey,DTXSID70419640,5-Hydroxyxanthotoxin,DTXCID50370487,7471-73-0,"4-Hydroxy-9-methoxy-7H-furo[3,2-g][1]benzopyran-7-one",COC1=C2OC(=O)C=CC2=C(O)C2=C1OC=C2,-,367.51,2.16E-05,1.44,0.908,2.15E-05,216.414,206.201,0.538,0.00283139,-,-,1.90E-05,25.8226,7.52E-08,0.000376704
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,DTXCID802481,83-46-5,Stigmast-5-en-3beta-ol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,785.236,408.379,9.18E-07,0.899,0.963,1.40E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06E-08,1.39E-07
NPJICTMALKLTFW-OFUAXYCQSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QZZGJDVWLFXDLK-UHFFFAOYSA-N,InChIKey,DTXSID6021664,Tetracosanoic acid,DTXCID701664,557-59-5,Tetracosanoic acid,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,8.22243,420.329,5.45E-06,0.853,0.591,1.57E-07,213.967,79.285,0.001,0.0566239,30.835,158.293,4.90E-08,44.978,8.67E-10,3.11E-06
ODHCTXKNWHHXJC-VKHMYHEASA-N,InChIKey,DTXSID6046260,Pidolic acid,DTXCID4026260,98-79-3,5-Oxo-L-proline,OC(=O)C1CCC(=O)N1,0.419759,273.348,0.00109396,1.29,0.912,0.0049204,160.714,158.116,0.129,0.0199526,-,165.81,0.0238232,36.7282,6.49E-06,0.688652
HCXVJBMSMIARIN-PHZDYDNGSA-N,InChIKey,DTXSID801015733,Stigmasterol,DTXCID601473919,83-48-7,"(22E)-Stigmasta-5,22-dien-3beta-ol",CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KDYFGRWQOYBRFD-UHFFFAOYSA-N,InChIKey,DTXSID6023602,Butanedioic acid,DTXCID303602,110-15-6,Butanedioic acid,OC(=O)CCC(O)=O,0.299916,279.143,0.00218273,1.39,0.771,0.002208,156.05,134.428,0.095,0.0262422,31.197,164.183,0.00977237,6.35331,2.99E-05,0.72277
WKOLLVMJNQIZCI-UHFFFAOYSA-N,InChIKey,DTXSID6059522,Vanillic acid,DTXCID1033668,121-34-6,4-Hydroxy-3-methoxybenzoic acid,COC1=CC(=CC=C1O)C(O)=O,1.36458,303.344,0.000542001,1.419,0.645,0.000579429,184.858,177.339,0.025,0.00570164,-,-,0.00519996,-,2.94E-06,0.0501187
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,DTXCID802481,83-46-5,Stigmast-5-en-3beta-ol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,785.236,408.379,9.18E-07,0.899,0.963,1.40E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06E-08,1.39E-07
MQYXUWHLBZFQQO-QGTGJCAVSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WKOLLVMJNQIZCI-UHFFFAOYSA-N,InChIKey,DTXSID6059522,Vanillic acid,DTXCID1033668,121-34-6,4-Hydroxy-3-methoxybenzoic acid,COC1=CC(=CC=C1O)C(O)=O,1.36458,303.344,0.000542001,1.419,0.645,0.000579429,184.858,177.339,0.025,0.00570164,-,-,0.00519996,-,2.94E-06,0.0501187
MGYMHQJELJYRQS-VHSXEESVSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GRWFGVWFFZKLTI-UHFFFAOYSA-N,Indigo InChIKey,DTXSID4026501,alpha-Pinene,DTXCID006501,80-56-8,"2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",CC1=CCC2CC1C2(C)C,1127.2,161.622,4.55E-05,0.881,0.836,8.07E-06,48.869,-29.27,0.05,0.0274157,28.774,114.426,0.000199526,1.6788,7.97995,0.00061235
YHQGMYUVUMAZJR-UHFFFAOYSA-N,InChIKey,DTXSID9041237,alpha-Terpinene,DTXCID7021237,99-86-5,"1-Methyl-4-(propan-2-yl)cyclohexa-1,3-diene",CC(C)C1=CC=C(C)CC1,584.62,174.7,9.77E-06,0.86,0.78,1.46E-05,49.96,-39.21,0.04,0.0323594,25.55,119.25,0.000125893,1.07152,1.86209,8.51E-05
YHQGMYUVUMAZJR-UHFFFAOYSA-N,InChIKey,DTXSID9041237,alpha-Terpinene,DTXCID7021237,99-86-5,"1-Methyl-4-(propan-2-yl)cyclohexa-1,3-diene",CC(C)C1=CC=C(C)CC1,584.62,174.7,9.77E-06,0.86,0.78,1.46E-05,49.96,-39.21,0.04,0.0323594,25.55,119.25,0.000125893,1.07152,1.86209,8.51E-05
WUOACPNHFRMFPN-UHFFFAOYSA-N,Indigo InChIKey,DTXSID5026625,alpha-Terpineol,DTXCID406625,98-55-5,2-(4-Methylcyclohex-3-en-1-yl)propan-2-ol,CC1=CCC(CC1)C(C)(C)O,20.96,223.67,0.00025704,0.92,0.87,0.000136458,86.34,70.39,0.04,0.018197,30.67,130.81,0.000891251,6.91831,0.0467735,0.00562341
IGODOXYLBBXFDW-UHFFFAOYSA-N,Indigo InChIKey,DTXSID2026496,alpha-Terpinyl acetate,DTXCID506496,80-26-2,2-(4-Methylcyclohex-3-en-1-yl)propan-2-yl acetate,CC(=O)OC(C)(C)C1CCC(C)=CC1,55.847,234.636,2.63E-05,0.929,0.52,2.42E-05,90.758,37.232,-0.05,0.015417,28.858,130.033,8.63E-05,2.92415,0.0749894,0.00138357
MGYMHQJELJYRQS-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WVDDGKGOMKODPV-UHFFFAOYSA-N,InChIKey,DTXSID5020152,Benzyl alcohol,DTXCID70152,100-51-6,Phenylmethanol,OCC1=CC=CC=C1,6.16,207.52,0.000295121,1.04,0.24,0.000630957,91.77,9.7,0.23,0.00416869,38.36,151.99,0.00446684,4.46684,0.223872,0.467735
RECUKUPTGUEGMW-UHFFFAOYSA-N,InChIKey,DTXSID6042074,Isopropyl-o-cresol,DTXCID4022074,499-75-2,2-Methyl-5-(propan-2-yl)phenol,CC(C)C1=CC=C(C)C(O)=C1,23.2274,233.332,1.91E-05,0.986,0.773,7.50E-05,98.159,28.292,0.409,0.00665273,34.19,136.178,0.000141906,8.89201,0.0127057,0.00903649
RECUKUPTGUEGMW-UHFFFAOYSA-N,InChIKey,DTXSID6042074,Isopropyl-o-cresol,DTXCID4022074,499-75-2,2-Methyl-5-(propan-2-yl)phenol,CC(C)C1=CC=C(C)C(O)=C1,23.2274,233.332,1.91E-05,0.986,0.773,7.50E-05,98.159,28.292,0.409,0.00665273,34.19,136.178,0.000141906,8.89201,0.0127057,0.00903649
XMGQYMWWDOXHJM-UHFFFAOYSA-N,Indigo InChIKey,DTXSID2029612,Limonene,DTXCID209612,138-86-3,1-Methyl-4-(prop-1-en-2-yl)cyclohex-1-ene,CC(=C)C1CCC(C)=CC1,523.87,170.51,8.32E-06,0.84,0.75,9.33E-06,47.49,-54.53,0.27,0.0354813,26.36,118.65,0.000131826,1.25893,2.5704,0.000107152
IWDCLRJOBJJRNH-UHFFFAOYSA-N,InChIKey,DTXSID7021869,p-Cresol,DTXCID101869,106-44-5,4-Methylphenol,CC1=CC=C(O)C=C1,9.39723,185.666,6.08E-05,1.048,0.214,0.000266073,74.625,46.09,0.06,0.00483059,38.2,147.822,0.00097051,5.63638,0.21677,0.141579
HFPZCAJZSCWRBC-UHFFFAOYSA-N,InChIKey,DTXSID3026645,p-Cymene,DTXCID006645,99-87-6,1-Methyl-4-(propan-2-yl)benzene,CC(C)C1=CC=C(C)C=C1,415.911,175.943,2.47E-05,0.868,0.668,8.17E-05,54.867,-50.272,-,0.0232809,28.026,123.106,0.000200909,1.47231,1.47911,0.000462381
HFPZCAJZSCWRBC-UHFFFAOYSA-N,InChIKey,DTXSID3026645,p-Cymene,DTXCID006645,99-87-6,1-Methyl-4-(propan-2-yl)benzene,CC(C)C1=CC=C(C)C=C1,415.911,175.943,2.47E-05,0.868,0.668,8.17E-05,54.867,-50.272,-,0.0232809,28.026,123.106,0.000200909,1.47231,1.47911,0.000462381
